Snow_Type,date_sample_collected,Molecule ,Replicate,Concentration_ng_L,Blank_subtracted_concentration
High Snowmaking,March 30 2022,Carbamazepine,1,0.124,0.124
High Snowmaking,March 30 2022,Carbamazepine,2,0.124,0.124
High Snowmaking,March 30 2022,Carbamazepine,3,0.124,0.124
High Snowmaking,December 23 2022,Carbamazepine,1,1.82,1.674
High Snowmaking,December 23 2022,Carbamazepine,2,6.36,6.214
High Snowmaking,December 23 2022,Carbamazepine,3,6.1,5.954
Low Snowmaking,April 29 2023 ,Carbamazepine,1,0.124,0.124
Low Snowmaking,April 29 2023 ,Carbamazepine,2,0.124,0.124
Low Snowmaking,April 29 2023 ,Carbamazepine,3,0.124,0.124
Natural Snowfall,March 30 2022,Carbamazepine,1,0.124,0.124
Natural Snowfall,March 30 2022,Carbamazepine,2,0.124,0.124
Natural Snowfall,March 30 2022,Carbamazepine,3,0.124,0.124
Natural Snowfall,April 29 2023 ,Carbamazepine,1,0.132,0.124
Natural Snowfall,April 29 2023 ,Carbamazepine,2,0.124,0.124
Natural Snowfall,April 29 2023 ,Carbamazepine,3,0.124,0.124
Extraction Blank,None,Carbamazepine,1,0.146,0.117
Extraction Blank,None,Carbamazepine,2,0.124,0.124
Extraction Blank,None,Carbamazepine,3,0.124,0.124
High Snowmaking,March 30 2022,Fexofenadine,1,0.308,0.308
High Snowmaking,March 30 2022,Fexofenadine,2,0.917,0.917
High Snowmaking,March 30 2022,Fexofenadine,3,0.308,0.308
High Snowmaking,December 23 2022,Fexofenadine,1,5.12,5.12
High Snowmaking,December 23 2022,Fexofenadine,2,24.2,24.2
High Snowmaking,December 23 2022,Fexofenadine,3,18,18
Low Snowmaking,April 29 2023 ,Fexofenadine,1,0.308,0.308
Low Snowmaking,April 29 2023 ,Fexofenadine,2,0.308,0.308
Low Snowmaking,April 29 2023 ,Fexofenadine,3,2.11,2.11
Natural Snowfall,March 30 2022,Fexofenadine,1,0.308,0.308
Natural Snowfall,March 30 2022,Fexofenadine,2,0.308,0.308
Natural Snowfall,March 30 2022,Fexofenadine,3,0.308,0.308
Natural Snowfall,April 29 2023 ,Fexofenadine,1,0.308,0.308
Natural Snowfall,April 29 2023 ,Fexofenadine,2,0.308,0.308
Natural Snowfall,April 29 2023 ,Fexofenadine,3,0.308,0.308
Extraction Blank,None,Fexofenadine,1,0.308,0.308
Extraction Blank,None,Fexofenadine,2,0.308,0.308
Extraction Blank,None,Fexofenadine,3,0.308,0.308
High Snowmaking,March 30 2022,Flecainide,1,0.253,0.253
High Snowmaking,March 30 2022,Flecainide,2,0.903,0.903
High Snowmaking,March 30 2022,Flecainide,3,0.515,0.515
High Snowmaking,December 23 2022,Flecainide,1,14.2,14.2
High Snowmaking,December 23 2022,Flecainide,2,67.8,67.8
High Snowmaking,December 23 2022,Flecainide,3,16.7,16.7
Low Snowmaking,April 29 2023 ,Flecainide,1,0.166,0.166
Low Snowmaking,April 29 2023 ,Flecainide,2,0.166,0.166
Low Snowmaking,April 29 2023 ,Flecainide,3,12.6,12.6
Natural Snowfall,March 30 2022,Flecainide,1,0.166,0.166
Natural Snowfall,March 30 2022,Flecainide,2,0.166,0.166
Natural Snowfall,March 30 2022,Flecainide,3,0.166,0.166
Natural Snowfall,April 29 2023 ,Flecainide,1,0.166,0.166
Natural Snowfall,April 29 2023 ,Flecainide,2,0.166,0.166
Natural Snowfall,April 29 2023 ,Flecainide,3,0.166,0.166
Extraction Blank,None,Flecainide,1,0.166,0.166
Extraction Blank,None,Flecainide,2,0.166,0.166
Extraction Blank,None,Flecainide,3,0.166,0.166
High Snowmaking,March 30 2022,Fluconazole,1,0,0
High Snowmaking,March 30 2022,Fluconazole,2,0,0
High Snowmaking,March 30 2022,Fluconazole,3,0,0
High Snowmaking,December 23 2022,Fluconazole,1,0,0
High Snowmaking,December 23 2022,Fluconazole,2,0,0
High Snowmaking,December 23 2022,Fluconazole,3,0,0
Low Snowmaking,April 29 2023 ,Fluconazole,1,0,0
Low Snowmaking,April 29 2023 ,Fluconazole,2,0,0
Low Snowmaking,April 29 2023 ,Fluconazole,3,0,0
Natural Snowfall,March 30 2022,Fluconazole,1,0,0
Natural Snowfall,March 30 2022,Fluconazole,2,0,0
Natural Snowfall,March 30 2022,Fluconazole,3,0,0
Natural Snowfall,April 29 2023 ,Fluconazole,1,0,0
Natural Snowfall,April 29 2023 ,Fluconazole,2,0,0
Natural Snowfall,April 29 2023 ,Fluconazole,3,0,0
Extraction Blank,None,Fluconazole,1,0,0
Extraction Blank,None,Fluconazole,2,0,0
Extraction Blank,None,Fluconazole,3,0,0
High Snowmaking,March 30 2022,Lamotrigine,1,1.08,1.08
High Snowmaking,March 30 2022,Lamotrigine,2,2.63,2.63
High Snowmaking,March 30 2022,Lamotrigine,3,2.86,2.86
High Snowmaking,December 23 2022,Lamotrigine,1,2.25,2.25
High Snowmaking,December 23 2022,Lamotrigine,2,2.43,2.43
High Snowmaking,December 23 2022,Lamotrigine,3,3.4,3.4
Low Snowmaking,April 29 2023 ,Lamotrigine,1,1.08,1.08
Low Snowmaking,April 29 2023 ,Lamotrigine,2,1.08,1.08
Low Snowmaking,April 29 2023 ,Lamotrigine,3,3.61,3.61
Natural Snowfall,March 30 2022,Lamotrigine,1,1.08,1.08
Natural Snowfall,March 30 2022,Lamotrigine,2,1.08,1.08
Natural Snowfall,March 30 2022,Lamotrigine,3,1.08,1.08
Natural Snowfall,April 29 2023 ,Lamotrigine,1,1.08,1.08
Natural Snowfall,April 29 2023 ,Lamotrigine,2,1.08,1.08
Natural Snowfall,April 29 2023 ,Lamotrigine,3,1.08,1.08
Extraction Blank,None,Lamotrigine,1,1.08,1.08
Extraction Blank,None,Lamotrigine,2,1.08,1.08
Extraction Blank,None,Lamotrigine,3,1.08,1.08
